Rating,Mobile Name:,Price,RAM
3.5,"LYF Water 1 (Black, 16 GB)",6990,2
3.8,"Lenovo A7000 Turbo (White, 16 GB)",9850,2
3.6,"Micromax Canvas Amaze 2 (Black, 16 GB)",7499,2
3.8,"InFocus M535 (Gold, 16 GB)",7680,2
3.5,"Asus Zenfone Go 5.0 LTE 2nd Gen (Gold, 16 GB)",7258,2
4.1,"Honor Holly 3 (White, 16 GB)",8990,2
3.8,"Huawei Honor 3X (White, 8 GB)",18315,2
3.9,"LG K10 K420DS (Black Gold, 16 GB)",9981,2
3.7,"Intex Aqua Costa (White, 8 GB)",4499,2
4.1,"LG Stylus 2 (Titan, 16 GB)",12750,2
4.1,"LG Stylus 2 (Brown, 16 GB)",13690,2
4,"Videocon Krypton 22 V50TF (Grey, 16 GB)",5485,2
3,"Kara Mega 2 (4G Volte) (Black, 16 GB)",7399,2
4,"LG K10 (Black Blue, 16 GB)",10800,2
3.7,"Karbonn Titanium Machone Plus (White/Silver, 16 GB)",6290,2
3.8,"Micromax Canvas Unite 4 Pro (Gold, 16 GB)",9499,2
4,"Celkon UFEEL (Blue & Black, 16 GB)",4995,2
3.8,"HTC Desire 630 (Golden Graphite, 16 GB)",11490,2
3.6,"Intex Aqua Ace Mini (White, 16 GB)",6799,2
4,"Samsung Galaxy A5 2016 Edition (White, 16 GB)",16999,2
4,"Samsung Galaxy J5 Prime (Black, 16 GB)",12999,2
4,"Intex Elyt E1 (Champagne, 16 GB)",6699,2
5,"Panasonic Eluga I2 (Gold, 16 GB)",7259,2
4.1,"Asus Zenfone 2 Laser ZE550KL (White, 16 GB)",9999,2
3.4,"Panasonic Eluga Z (Midnight Blue, 16 GB)",6499,2
4,"Samsung Galaxy A5 2016 Edition (Black, 16 GB)",16699,2
3.1,Celkon Celkon Millennia 2GB Star 16GB - Silver White,4099,2
3,"OPPO N5111 (White, 16 GB)",15990,2
3.8,"Lenovo A7000 Turbo (Black, 16 GB)",10999,2
3.6,"Micromax Canvas Selfie A255 (Blue, 16 GB)",8990,2
3.7,"Lava Pixel V1 with Android One (White, 32 GB)",8649,2
3.1,"Videocon Delite 21 (Champagne Gold, 16 GB)",5290,2
4,"Alcatel Onetouch Idol X Plus (White, 16 GB)",14347,2
4.1,"Gionee F103 (Black, 16 GB)",8999,2
4,"Intex Aqua Genx (Champagne, 16 GB)",8990,2
