Rating,Mobile Name:,Price,RAM
4.1,"Micromax Canvas 5 (Tan Brown, 16 GB)",9999,3
4.1,"Panasonic Eluga Ray 700 (Marine Blue, 32 GB)",5999,3
4.1,"Infinix Hot 4 Pro (Bordeaux Red, 16 GB)",7999,3
3.6,"Lenovo K6 Power (Gold, 32 GB)",7999,3
3.9,"Lenovo K6 Power (Grey, 32 GB)",7999,3
4.3,"Lenovo K6 Power (Silver, 32 GB)",9999,3
4.3,"Panasonic Eluga Ray 700 (Mocha Gold, 32 GB)",11999,3
3.9,"Moto M (Silver, 32 GB)",9999,3
4.3,"Honor 6X (Silver, 32 GB)",9999,3
4,"LeEco Le 2 (Gold, 32 GB)",11999,3
3,"Swipe Elite Note (Black, 16 GB)",6499,3
3.5,"Kodak Ektra (Black, 32 GB)",28999,3
3.8,Intex Elyt E7,8249,3
4.2,"OPPO A71 (Gold, 16 GB)",12990,3
4,"Sony Xperia X Dual Sim (Rose Gold, 64 GB)",24990,3
3.9,"LeEco Le 1s Eco (Gold, 32 GB)",9999,3
4.5,"Huawei P9 (Titanium Grey, 32 GB)",19999,3
3.9,"LeEco Le 1S (Silver, 32 GB)",9995,3
3.5,"HTC Desire 728 (Capuccino Brown, 32 GB)",11999,3
3.1,"Lava Pixel V2 Plus (White, 32 GB)",6989,3
4.2,"Samsung Galaxy On8 (Black, 16 GB)",13490,3
3.9,"Lenovo Vibe K5 Plus (Silver, 16 GB)",7499,3
4,"Samsung Galaxy A7 2016 Edition (White, 16 GB)",17399,3
3.6,"HTC Desire 628 (Sunset Blue, 32 GB)",10699,3
3.6,"Intex Cloud Swift (Champagne, 16 GB)",7299,3
3.5,"Alcatel Idol 4 (Gold, 16 GB)",9999,3
3.3,"Intex Aqua Super (Black & Grey, 16 GB)",7199,3
3.6,"InFocus Bingo 50 M460 (Leather Black, 16 GB)",6499,3
4,"Sony Xperia X Dual Sim (White, 64 GB)",25900,3
3.8,"Intex Elyt E7 (Champagne, 32 GB)",7499,3
4.2,"Samsung Galaxy On8 (Gold, 16 GB)",13490,3
4,"LG G4 (Genuine Leather Black, 32 GB)",19990,3
3.9,"HTC One X9 (Topaz Gold, 32 GB)",15490,3
3.4,"LYF Earth 2 (White, 32 GB)",9990,3
4,"Sony Xperia XA Ultra Dual (Graphite Black, 16 GB)",20981,3
4,"Samsung Galaxy A7 2016 Edition (Black, 16 GB)",17490,3
4,"Sony Xperia XA Ultra Dual (White, 16 GB)",21699,3
4,"Samsung Galaxy S6 Edge (Black Sapphire, 32 GB)",28490,3
4.1,"OPPO F1s (Gold, 32 GB)",15999,3
3.7,"Intex Aqua Ace (Black, 16 GB)",9250,3
3.9,"HTC 10 Lifestyle (Carbon Grey, 32 GB)",21200,3
4,"Asus Zenfone Selfie (Gold, 32 GB)",15499,3
3.8,"Micromax Canvas Mega 4G (Blue, 16 GB)",6990,3
4.1,"OBI SJ1.8 (White, 16 GB)",6998,3
4,"Asus Zenfone Max ZC550KL (Orange, 32 GB)",12999,3
3.9,"Asus Zenfone Selfie (Grey, 32 GB)",13998,3
3.2,"Lava V5 (Icy White, 16 GB)",9499,3
4.1,"Xolo BLACK (Black, 16 GB)",8799,3
4,"Lenovo K4 Note (Black/Tuxedo Black, 16 GB)",10890,3
4.2,"LG G4 (Shiny Gold, 32 GB)",20500,3
3.7,"HTC One A9 (Opal Silver, 32 GB)",21049,3
3.7,"Intex Aqua Ace (White, 16 GB)",6690,3
3.5,"Panasonic Eluga Turbo (Midnight Blue, 32 GB)",9299,3
3.9,"Panasonic ELUGA Mark 2 (Gold, 32 GB)",13990,3
3.6,"Lava X81 4G with VoLTE (Gold, 16 GB)",7999,3
3.9,"HTC Desire 628 (Cobalt White, 32 GB)",9999,3
3.9,"InFocus Bingo 50+ (Gold, 16 GB)",6499,3
3.7,"Panasonic Eluga Turbo (Marine Blue, 32 GB)",7990,3
5,"Comio P1 4G (Sunrise Gold, 32 GB)",9999,3
4,"Asus Zenfone Selfie (Gold, 16 GB)",9999,3
4.1,"Asus Zenfone Max ZC550KL (Blue, 32 GB)",12999,3
4,"Asus Zenfone Selfie (Pink, 16 GB)",12490,3
3.8,"Gionee S Plus (Gold, 16 GB)",13990,3
4,"Sony Xperia XA Ultra Dual (Lime Gold, 16 GB)",20999,3
3.8,"Gionee S Plus (Dark Blue, 16 GB)",15450,3
3.8,"Microsoft Lumia 950 XL (Black, 32 GB)",34999,3
4.2,"Asus Zenfone 2 Laser ZE601KL (Gold, 32 GB)",13899,3
4,"Asus Zenfone Selfie (Purple, 16 GB)",11499,3
4,"Asus Zenfone Selfie (Gold, 16 GB)",9999,3
4.1,"Samsung Galaxy Note 4 (Blossom Pink, 32 GB)",39999,3
3.3,"LYF Water 7S (White, 16 GB)",7490,3
4,"Asus Zenfone Selfie (Black, 16 GB)",9999,3
4,"Samsung Galaxy S6 (Blue Topaz, 32 GB)",32750,3
4.1,"Sony Xperia XZ Dual (Mineral Black, 64 GB)",49990,3
4.2,"Asus Zenfone 2 Laser 5.5 (Red, 16 GB)",11499,3
4,"LG G4 (Red, 32 GB)",19990,3
